타임스탬프,귀하의 현재 한국어 능력 수준은 어느 정도입니까? (What is your current Korean proficiency level?),한국에서 거주한 기간은 얼마나 되십니까? (How long have you lived in Korea?),1.1 다음은 한국 사회의 경제에 대한 문제이다. 한국의 눈부신 경제 성장을 가리켜 무엇이라 부르는가?,"1.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",2.1 다음은 한국 사회의 경제에 대한 문제이다. 노동자의 권리를 보호받기 위해 취업 시에는 무엇을 반드시 해야 하는가?,"2.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",3.1 다음은 한국의 지리에 대한 문제이다. 한국의 가을 계절은 어떤 특징이 있는가?,"3.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",4.1 다음은 한국의 지리에 대한 문제이다. 경주는 어떤 시대의 문화유산이 많이 남아 있는가?,"4.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",5.1 다음은 한국사회의 법에 대한 문제이다. 대한민국 검찰의 주요 역할은 무엇인가?,"5.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",6.1 다음은 한국사회의 법에 대한 문제이다. 부동산과 관련된 계약을 할 때 어떻게 하면 비교적 안전하게 거래할 수 있는가?,"6.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",7.1 다음은 한국사회의 정치에 대한 문제이다. 한국은 어떤 형태의 민주주의를 기본적으로 채택하고 있는가?,"7.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",8.1 다음은 한국사회의 정치에 대한 문제이다. 한국의 선거는 어떤 원칙에 따라 치러지는가?,"8.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",9.1 다음은 한국사회의 정치에 대한 문제이다. 행정부가 나라 안팎의 일을 처리할 때 가장 우선으로 따라야 하는 것은 무엇인가?,"9.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",10.1 다음은 한국사회에 대한 문제이다. 남한이나 South Korea라는 명칭은 어떤 경우에 주로 사용되는가?,"10.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",11.1 다음은 한국사회에 대한 문제이다. 광복절은 어떤 날을 기념하는가?,"11.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",12.1 다음은 한국사회에 대한 문제이다. 아이가 엄마의 형제를 부를 때 어떤 호칭을 사용하는가?,"12.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",13.1 다음은 한국의 문화와 전통에 대한 문제이다. 한국의 대표적인 발효식품 중 하나는 무엇인가?,"13.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",14.1 다음은 한국의 문화와 전통에 대한 문제이다. 설날에 어른들이 어린 아이들에게 주는 것은 무엇인가?,"14.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)",15.1 다음은 한국사회에 대한 문제이다. 전세 보증금을 안전하게 돌려받기 위한 방법은 무엇인가?,"15.2 외국인 유학생 입장에서, 이 문제의 난이도는 어떻다고 생각합니까? (For an international student, how would you rate the difficulty of this question?)","마지막으로, 한국 생활 퀴즈가 한국 거주 외국인에게 도움이 될 것 같습니까? (Do you think these kinds of quizzes would be helpful for international students?)"
ANSWER_KEY,N/A,N/A,한강의 기적,N/A,근로계약서 작성,N/A,건조하고 화창하다,N/A,신라,N/A,범죄를 수사하고 법을 집행하는 일,N/A,공인 중개사를 통한다,N/A,간접민주주의,N/A,보통·평등·직접·비밀선거,N/A,정해진 법,N/A,북한과 구별할 때,N/A,1945년 일본의 지배에서 벗어나 독립을 맞이한 것을 기념하는 날,N/A,외삼촌,N/A,김치,N/A,세뱃돈,N/A,이사 후 전입신고를 하고 확정일자를 받는 것,N/A,N/A
2025. 12. 1 오후 7:10:19,고급 (Advanced / TOPIK 5~6급 수준),3년 이상 (More than 3 years),한강의 기적,(2) 쉬움 (Easy),근로계약서 작성,(2) 쉬움 (Easy),건조하고 화창하다,(2) 쉬움 (Easy),신라,(4) 어려움 (Hard),범죄를 수사하고 법을 집행하는 일,(2) 쉬움 (Easy),공인 중개사를 통한다,(3) 보통 (Moderate),직접민주주의,(2) 쉬움 (Easy),보통·평등·직접·비밀선거,(2) 쉬움 (Easy),대통령의 지시,(4) 어려움 (Hard),북한과 구별할 때,(2) 쉬움 (Easy),1945년 일본의 지배에서 벗어나 독립을 맞이한 것을 기념하는 날,(4) 어려움 (Hard),삼촌,(3) 보통 (Moderate),김치,(1) 매우 쉬움 (Very Easy),세뱃돈,(1) 매우 쉬움 (Very Easy),이사 후 전입신고를 하고 확정일자를 받는 것,(3) 보통 (Moderate),그렇다 (Yes)
2025. 12. 1 오후 8:10:58,고급 (Advanced / TOPIK 5~6급 수준),1년 이상 ~ 3년 미만 (1 year ~ less than 3 years),경제의 기적,(2) 쉬움 (Easy),무료 의료서비스,(3) 보통 (Moderate),추우면서도 포근하고 따뜻하다,(2) 쉬움 (Easy),고구려,(1) 매우 쉬움 (Very Easy),범죄를 수사하고 법을 집행하는 일,(2) 쉬움 (Easy),변호사를 통한다,(2) 쉬움 (Easy),자유민주주의,(2) 쉬움 (Easy),보통·평등·간접·비밀선거,(3) 보통 (Moderate),헌법,(2) 쉬움 (Easy),국제회의에서,(2) 쉬움 (Easy),1945년 일본의 지배에서 벗어나 독립을 맞이한 것을 기념하는 날,(3) 보통 (Moderate),삼촌,(3) 보통 (Moderate),김치,(2) 쉬움 (Easy),세뱃돈,(1) 매우 쉬움 (Very Easy),이사 후 전입신고를 하고 확정일자를 받는 것,(2) 쉬움 (Easy),그렇다 (Yes)
2025. 12. 1 오후 9:48:20,초급 (Beginner / TOPIK 1~2급 수준),3년 이상 (More than 3 years),한강의 기적,(5) 매우 어려움 (Very Hard),무료 의료서비스,(5) 매우 어려움 (Very Hard),추우면서도 포근하고 따뜻하다,(5) 매우 어려움 (Very Hard),고구려,(5) 매우 어려움 (Very Hard),질서유지,(5) 매우 어려움 (Very Hard),공인 중개사를 통한다,(5) 매우 어려움 (Very Hard),직접민주주의,(5) 매우 어려움 (Very Hard),보통·평등·직접·비밀선거,(5) 매우 어려움 (Very Hard),국민의 뜻,(5) 매우 어려움 (Very Hard),한자를 사용할 때,(5) 매우 어려움 (Very Hard),국가를 위해 자신의 목숨을 바친 순국선열을 기념하는 날,(5) 매우 어려움 (Very Hard),외삼촌,(5) 매우 어려움 (Very Hard),김치,(5) 매우 어려움 (Very Hard),세뱃돈,(5) 매우 어려움 (Very Hard),이사 전 전입신고를 하고 계약서를 받는 것,(5) 매우 어려움 (Very Hard),보통이다 (Neutral)
2025. 12. 2 오전 2:38:51,중급 (Intermediate / TOPIK 3~4급 수준),1년 이상 ~ 3년 미만 (1 year ~ less than 3 years),모르겠음,(4) 어려움 (Hard),무료 의료서비스,(4) 어려움 (Hard),건조하고 화창하다,(2) 쉬움 (Easy),모르겠음,(4) 어려움 (Hard),"국민의 생명과 신체, 재산의 보호",(4) 어려움 (Hard),모르겠음,(5) 매우 어려움 (Very Hard),모르겠음,(4) 어려움 (Hard),모르겠음,(4) 어려움 (Hard),모르겠음,(4) 어려움 (Hard),영어권에서,(4) 어려움 (Hard),모르겠음,(5) 매우 어려움 (Very Hard),외삼촌,(3) 보통 (Moderate),비빔밥,(3) 보통 (Moderate),세뱃돈,(2) 쉬움 (Easy),이사 후 전입신고를 하고 계약서를 받는 것,(4) 어려움 (Hard),그렇다 (Yes)
2025. 12. 2 오후 2:19:07,고급 (Advanced / TOPIK 5~6급 수준),6개월 이상 ~ 1년 미만 (6 months ~ less than 1 year),한강의 기적,(1) 매우 쉬움 (Very Easy),근로계약서 작성,(2) 쉬움 (Easy),건조하고 화창하다,(1) 매우 쉬움 (Very Easy),신라,(3) 보통 (Moderate),범죄를 수사하고 법을 집행하는 일,(2) 쉬움 (Easy),공인 중개사를 통한다,(2) 쉬움 (Easy),직접민주주의,(1) 매우 쉬움 (Very Easy),보통·평등·직접·비밀선거,(2) 쉬움 (Easy),헌법,(1) 매우 쉬움 (Very Easy),북한과 구별할 때,(1) 매우 쉬움 (Very Easy),1945년 일본의 지배에서 벗어나 독립을 맞이한 것을 기념하는 날,(1) 매우 쉬움 (Very Easy),이모,(2) 쉬움 (Easy),김치,(1) 매우 쉬움 (Very Easy),떡국,(1) 매우 쉬움 (Very Easy),이사 후 전입신고를 하고 계약서를 받는 것,(2) 쉬움 (Easy),"매우 그렇다 (Yes, very much)"
2025. 12. 2 오후 3:24:13,중급 (Intermediate / TOPIK 3~4급 수준),1년 이상 ~ 3년 미만 (1 year ~ less than 3 years),한강의 기적,(3) 보통 (Moderate),근로계약서 작성,(3) 보통 (Moderate),무덥고 비가 많이 내린다,(2) 쉬움 (Easy),모르겠음,(4) 어려움 (Hard),범죄를 수사하고 법을 집행하는 일,(3) 보통 (Moderate),공인 중개사를 통한다,(2) 쉬움 (Easy),자유민주주의,(3) 보통 (Moderate),보통·평등·직접·공개선거,(3) 보통 (Moderate),정해진 법,(3) 보통 (Moderate),북한과 구별할 때,(3) 보통 (Moderate),1945년 일본의 지배에서 벗어나 독립을 맞이한 것을 기념하는 날,(3) 보통 (Moderate),외삼촌,(3) 보통 (Moderate),김치,(1) 매우 쉬움 (Very Easy),세뱃돈,(2) 쉬움 (Easy),이사 전 전입신고를 하고 확정일자를 받는 것,(3) 보통 (Moderate),그렇다 (Yes)
2025. 12. 3 오후 2:27:46,고급 (Advanced / TOPIK 5~6급 수준),1년 이상 ~ 3년 미만 (1 year ~ less than 3 years),한강의 기적,(2) 쉬움 (Easy),근로계약서 작성,(2) 쉬움 (Easy),건조하고 화창하다,(3) 보통 (Moderate),신라,(3) 보통 (Moderate),범죄를 수사하고 법을 집행하는 일,(3) 보통 (Moderate),공인 중개사를 통한다,(3) 보통 (Moderate),간접민주주의,(3) 보통 (Moderate),보통·평등·직접·비밀선거,(4) 어려움 (Hard),헌법,(4) 어려움 (Hard),북한과 구별할 때,(2) 쉬움 (Easy),1945년 일본의 지배에서 벗어나 독립을 맞이한 것을 기념하는 날,(3) 보통 (Moderate),외삼촌,(3) 보통 (Moderate),김치,(2) 쉬움 (Easy),세뱃돈,(3) 보통 (Moderate),이사 후 전입신고를 하고 확정일자를 받는 것,(4) 어려움 (Hard),"매우 그렇다 (Yes, very much)"
2025. 12. 3 오후 3:01:50,중급 (Intermediate / TOPIK 3~4급 수준),3년 이상 (More than 3 years),산업의 기적,(3) 보통 (Moderate),무료 의료서비스,(2) 쉬움 (Easy),눈이 많이 온다,(1) 매우 쉬움 (Very Easy),모르겠음,(3) 보통 (Moderate),"국민의 생명과 신체, 재산의 보호",(2) 쉬움 (Easy),직접 거래한다,(3) 보통 (Moderate),사회민주주의,(4) 어려움 (Hard),보통·평등·직접·공개선거,(2) 쉬움 (Easy),정해진 법,(2) 쉬움 (Easy),북한과 구별할 때,(2) 쉬움 (Easy),일제의 지배에 저항하여 1919년에 일으킨 독립만세운동을 기념하는 날,(3) 보통 (Moderate),삼촌,(3) 보통 (Moderate),라면,(3) 보통 (Moderate),떡국,(3) 보통 (Moderate),모르겠음,(4) 어려움 (Hard),보통이다 (Neutral)
2025. 12. 3 오후 4:16:00,고급 (Advanced / TOPIK 5~6급 수준),1년 이상 ~ 3년 미만 (1 year ~ less than 3 years),한강의 기적,(4) 어려움 (Hard),무료 의료서비스,(4) 어려움 (Hard),추우면서도 포근하고 따뜻하다,(2) 쉬움 (Easy),모르겠음,(3) 보통 (Moderate),범죄를 수사하고 법을 집행하는 일,(4) 어려움 (Hard),공인 중개사를 통한다,(3) 보통 (Moderate),사회민주주의,(4) 어려움 (Hard),보통·평등·직접·비밀선거,(4) 어려움 (Hard),국민의 뜻,(4) 어려움 (Hard),국제회의에서,(5) 매우 어려움 (Very Hard),모르겠음,(5) 매우 어려움 (Very Hard),삼촌,(3) 보통 (Moderate),김치,(2) 쉬움 (Easy),세뱃돈,(3) 보통 (Moderate),모르겠음,(4) 어려움 (Hard),"매우 그렇다 (Yes, very much)"
